address,name,symbol,decimals
0x2779106e4f4a8a28d77a24c18283651a2ae22d1c,PancakeSwap Token,Cake,18
0xe7798f023fc62146e8aa1b36da45fb70855a77ea,Ethereum Token,ETH,18
0x12962e058b3a741bae0249ab63f9d23e04cc7408,Uniswap V2,UNI-V2,18
0x4200000000000000000000000000000000000006,Wrapped BNB,WBNB,18
0x7c6b91d9be155a6db01f749217d76ff02a7227f2,BTCB Token,BTCB,18
0x9e5aac1ba1a2e6aed6b32689dfcf62a509ca96f3,Tether USD,USDT,18
0x9e5aac1ba1a2e6aed6b32689dfcf62a509ca96f3,Tether USD,USD₮0,18
0x9e5aac1ba1a2e6aed6b32689dfcf62a509ca96f3,Tether USD,USDT0,18
